Taxa,plant,ra,z_land,p_land,z_even,p_even,p_land_BH,p_even_BH,target,target_k,target_p,target_c,guild
Russula,Betula,median,-0.483518201130967,0.386338633863386,0.169154362673541,0.365736573657366,0.454325178611611,0.44973492036576,Fng_*Russula*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Russula,Betula,perc75,-0.612793323302492,0.478247824782478,0.308579731684432,0.323932393239324,0.542897841820381,0.423419883256788,Fng_*Russula*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Russula,Larix,perc25,-0.693014934991103,1,0.297238838486674,0.773177317731773,1,0.792806457336823,Fng_*Russula*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Russula,Larix,median,0.309979712803248,0.283628362836284,1.92729083148744,0.0273027302730273,0.351456343411662,0.106555013478001,Fng_*Russula*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Russula,Larix,perc75,2.40201236464088,1e-04,3.00772281014091,1e-04,0.000278391223310958,0.00168588287400169,Fng_*Russula*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Russula,Pinus,perc25,3.20640887126529,0.0099009900990099,2.61897106646033,0.0407040704070407,0.0193866215889882,0.132696151521978,Fng_*Russula*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Russula,Pinus,median,4.24289498702955,0.0002000200020002,1.21050072101692,0.0532053205320532,0.000538845830891814,0.154523833886279,Fng_*Russula*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Russula,Pinus,perc75,4.10609635219647,0.0007000700070007,1.18601021502527,0.0569056905690569,0.00172468146978364,0.16108111281495,Fng_*Russula*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Russula,Acer,perc25,-1.00798240257215,0.843184318431843,-0.0998994513372905,0.474447444744474,0.885696577333937,0.515290511184307,Fng_*Russula*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Russula,Acer,median,4.38316814035903,1e-04,2.54777644626934,0.0022002200220022,0.000278391223310958,0.0204020402040204,Fng_*Russula*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Russula,Acer,perc75,5.58958030884145,1e-04,1.76615412798665,0.0421042104210421,0.000278391223310958,0.134993680508168,Fng_*Russula*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Russula,Populus,perc25,-0.113832415714607,0.513151315131513,-1.44431172722706,0.0446044604460446,0.575253038243687,0.13951644644714,Fng_*Russula*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Russula,Populus,median,-0.369444689237046,0.625862586258626,-2.28129432969013,0.0086008600860086,0.681062467352826,0.0511968110757663,Fng_*Russula*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Russula,Populus,perc75,1.93483592284622,0.0018001800180018,-0.264396519489268,0.43034303430343,0.00415760793570726,0.491703888444664,Fng_*Russula*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Russula,Juglans,perc25,4.50934729434823,0.0001000100010001,-1.92113148991219,0.0225022502250225,0.000278391223310958,0.09430260574804,Fng_*Russula*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Russula,Juglans,median,4.09751909720543,0.0001000100010001,-1.89096142318051,0.0195019501950195,0.000278391223310958,0.0860430617841843,Fng_*Russula*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Russula,Juglans,perc75,3.59158809035326,1e-04,-1.84264288410914,0.0174017401740174,0.000278391223310958,0.0795772586377179,Fng_*Russula*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Sebacina,Betula,perc25,-1.06939119183773,0.68056805680568,0.097934320118316,0.778477847784778,0.733434807593879,0.797154957966445,Fng_*Sebacina*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Sebacina,Betula,median,-1.20334965141699,0.773677367736774,0.357413653309805,0.668666866686669,0.81983657711072,0.69692365842057,Fng_*Sebacina*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Sebacina,Betula,perc75,-0.596795978301487,0.657965796579658,-1.08370057768503,0.13041304130413,0.711113276109517,0.25639519195304,Fng_*Sebacina*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Sebacina,Larix,perc25,2.9968107192055,0.0039003900390039,2.90530919774382,0.008000800080008,0.00837526691328191,0.0489317224405367,Fng_*Sebacina*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Sebacina,Larix,median,2.83690844715437,0.0058005800580058,2.7930076101535,0.003000300030003,0.0119484408242398,0.0251473615328107,Fng_*Sebacina*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Sebacina,Larix,perc75,2.68384070473349,0.0312031203120312,2.19645895362889,0.0273027302730273,0.0533581333140414,0.106555013478001,Fng_*Sebacina*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Sebacina,Pinus,perc25,1.18931218236243,0.127512751275128,-1.08146144922965,0.118911891189119,0.179633662945143,0.243318221842551,Fng_*Sebacina*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Sebacina,Pinus,median,2.39130832255088,0.0196019601960196,-2.13759636426582,0.0492049204920492,0.0354850878954402,0.147909696064512,Fng_*Sebacina*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Sebacina,Pinus,perc75,1.85188985225832,0.0473047304730473,-1.80292332874256,0.082008200820082,0.0766886866392617,0.198362279957899,Fng_*Sebacina*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Sebacina,Acer,perc25,4.77463181281714,0.0001000100010001,1.74059793879462,0.0168016801680168,0.000278391223310958,0.0778387307552926,Fng_*Sebacina*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Sebacina,Acer,median,3.63816548786842,0.001000100010001,0.989144131431734,0.185618561856186,0.00241250086547116,0.310551155198923,Fng_*Sebacina*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Sebacina,Acer,perc75,3.75587349094871,0.0003000300030003,0.257070557438396,0.4003400340034,0.000787824094228001,0.471569059430899,Fng_*Sebacina*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Sebacina,Populus,perc25,NA,NA,NA,NA,NA,NA,Fng_*Sebacina*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Sebacina,Populus,median,NA,NA,NA,NA,NA,NA,Fng_*Sebacina*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Sebacina,Populus,perc75,NA,NA,NA,NA,NA,NA,Fng_*Sebacina*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Sebacina,Juglans,perc25,NA,NA,NA,NA,NA,NA,Fng_*Sebacina*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Sebacina,Juglans,median,NA,NA,NA,NA,NA,NA,Fng_*Sebacina*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Sebacina,Juglans,perc75,NA,NA,NA,NA,NA,NA,Fng_*Sebacina*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Thelephora,Betula,perc25,-1.15317332422223,0.798379837983798,0.266514318590176,0.590659065906591,0.842011736643974,0.621213956418361,Fng_*Thelephora*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Thelephora,Betula,median,-0.560612601546909,0.74037403740374,-1.08641845367049,0.391439143914391,0.788989748532375,0.466010043140813,Fng_*Thelephora*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Thelephora,Betula,perc75,0.941197198620222,0.227322732273227,1.28632522958568,0.141714171417142,0.292147315051676,0.268863771623064,Fng_*Thelephora*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Thelephora,Larix,perc25,3.99304793658938,0.0079007900790079,2.40722413003599,0.022002200220022,0.0157937108451881,0.0930493611553706,Fng_*Thelephora*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Thelephora,Larix,median,4.16651602819563,0.0158015801580158,-0.283224931248372,0.682768276827683,0.0293918177730655,0.71014508986329,Fng_*Thelephora*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Thelephora,Larix,perc75,1.69307548552475,0.136413641364136,-0.369703136559317,0.60966096609661,0.190126512651265,0.640408648194662,Fng_*Thelephora*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Thelephora,Pinus,perc25,2.93160335483622,0.0054005400540054,-3.25569145060388,0.0168016801680168,0.0112010512108738,0.0778387307552926,Fng_*Thelephora*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Thelephora,Pinus,median,2.18952564395929,0.0236023602360236,-2.26380172863608,0.0547054705470547,0.0418955810675407,0.156919695782734,Fng_*Thelephora*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Thelephora,Pinus,perc75,2.46312958455673,0.0071007100710071,-1.32479472322682,0.185218521852185,0.014308358546698,0.310313213949457,Fng_*Thelephora*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Thelephora,Acer,perc25,4.7719810911693,0.0014001400140014,0.31921149151996,0.227222722272227,0.00329950803299508,0.349635986354964,Fng_*Thelephora*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Thelephora,Acer,median,2.22872975959433,0.0341034103410341,0.202801892599276,0.355135513551355,0.0577599532105109,0.443771910413633,Fng_*Thelephora*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Thelephora,Acer,perc75,2.37116279204967,0.0126012601260126,-0.0949563922999,0.526452645264526,0.0239118144401897,0.557878503117084,Fng_*Thelephora*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Thelephora,Populus,perc25,7.45127359071519,0.0002000200020002,1.5511898743105,0.0668066806680668,0.000538845830891814,0.1774239206798,Fng_*Thelephora*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Thelephora,Populus,median,6.72791101425483,0.0003000300030003,1.46781773017815,0.077007700770077,0.000787824094228001,0.192056503619695,Fng_*Thelephora*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Thelephora,Populus,perc75,5.27097417314296,0.0017001700170017,1.22179912947106,0.106810681068107,0.0039493532686602,0.228587012328544,Fng_*Thelephora*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Thelephora,Juglans,perc25,2.66086619307822,0.0164016401640164,0.209446620151535,0.408240824082408,0.0303206249393745,0.477047238704453,Fng_*Thelephora*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Thelephora,Juglans,median,1.77247291564532,0.0577057705770577,0.333066787986135,0.364936493649365,0.0908831924259651,0.44930192691937,Fng_*Thelephora*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Thelephora,Juglans,perc75,1.47341896856347,0.0823082308230823,0.506006146271514,0.303930393039304,0.123308747893948,0.408266077555781,Fng_*Thelephora*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Tomentella,Betula,perc25,1.35153114002347,0.353635363536354,0.0555830704981465,0.996899689968997,0.422216641652268,0.996899689968997,Fng_*Tomentella*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Tomentella,Betula,median,0.986236126170208,0.506750675067507,0.0534712320785123,0.996899689968997,0.56966874805479,0.996899689968997,Fng_*Tomentella*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
Tomentella,Betula,perc75,0.79693535839264,0.611161116111611,0.00802927036848476,0.996899689968997,0.667840486407987,0.996899689968997,Fng_*Tomentella*,Fungi,Fng_Basidiomycota,Fng_Agaricomycetes,EcMF
